open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1672537500000,1194.92000000,1195.54000000,1194.92000000,1195.53,112.1893,1672537799999,134090.29961700,518,83.44830000,99740.79779500,0
1672537800000,1195.54000000,1195.70000000,1195.26000000,1195.35,209.0755,1672538099999,249936.98445600,720,124.60100000,148944.13523200,0
1672538100000,1195.35000000,1196.37000000,1195.35000000,1196.02,310.4828,1672538399999,371355.08423900,848,138.48750000,165620.38250600,0
1672538400000,1196.01000000,1196.02000000,1194.11000000,1194.21,1109.8181,1672538699999,1325894.16649700,1192,417.41270000,498606.06346200,0
1672538700000,1194.21000000,1194.37000000,1194.20000000,1194.37,119.582,1672538999999,142813.79760500,549,69.89840000,83477.28292400,0
1672539000000,1194.36000000,1195.44000000,1194.12000000,1195.22,466.104,1672539299999,556779.23601300,793,258.39160000,308651.91595100,0
1672539300000,1195.21000000,1195.38000000,1195.02000000,1195.33,121.8827,1672539599999,145667.89764200,685,84.16310000,100585.92849600,0
1672539600000,1195.33000000,1195.64000000,1195.18000000,1195.38,375.6097,1672539899999,449015.76395900,745,185.46260000,221706.82493500,0
1672539900000,1195.38000000,1196.13000000,1195.38000000,1196.12,277.6175,1672540199999,331985.16682600,784,148.17540000,177176.79315300,0
1672540200000,1196.13000000,1196.74000000,1196.05000000,1196.74,307.8162,1672540499999,368259.49757100,789,217.30270000,259972.81353700,0
1672540500000,1196.74000000,1196.74000000,1195.90000000,1195.9,251.8358,1672540799999,301282.02045800,595,61.29030000,73303.70074000,0
1672540800000,1195.90000000,1195.91000000,1195.27000000,1195.27,186.282,1672541099999,222738.79948100,557,41.12550000,49169.84289400,0
1672541100000,1195.28000000,1195.71000000,1195.27000000,1195.66,175.9713,1672541399999,210381.30155900,583,139.41540000,166674.08354200,0
1672541400000,1195.66000000,1195.72000000,1195.44000000,1195.45,168.7489,1672541699999,201762.11124800,495,18.13580000,21683.20714100,0
1672541700000,1195.45000000,1195.45000000,1195.33000000,1195.4,190.7794,1672541999999,228052.41709500,610,130.95960000,156543.51598300,0
